[2023.05.13 18:14:55.717] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:14:55.718] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:14:55.719] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:16:20.314] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:16:20.331] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:16:20.333] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:16:20.334] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:18:51.445] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:18:51.458] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:18:51.460] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:18:51.461] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:19:31.848] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:19:31.865] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:19:31.867] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:19:31.868] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:19:32.516] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:19:32.524] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:19:32.525] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:19:32.526] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:19:54.003] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:19:54.014] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:19:54.016] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:19:54.018] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:21:03.349] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:21:03.365] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:21:03.366] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:21:03.368] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:22:36.948] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:22:36.965] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:22:36.969] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:22:36.971] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:24:44.786] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:24:44.800] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:24:44.805] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:24:44.807] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:25:03.697] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:25:03.707] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:25:03.708] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:25:03.709] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:25:21.654] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:25:21.663] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:25:21.666] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:25:21.667] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:26:23.124] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:26:23.137] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:26:23.139] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:26:23.140] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:26:48.549] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:26:48.565] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:26:48.569] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:26:48.570] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:28:59.446] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:28:59.461] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:28:59.462] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:28:59.462] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:32:22.491] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:32:22.506] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:32:22.508] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:32:22.509] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:33:43.180] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:33:43.194] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:33:43.195] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:33:43.196] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:34:07.968] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:34:07.977] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
