[2023.05.18 15:51:13.945] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:51:13.947] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:51:13.949] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:51:59.762] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:51:59.776] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:51:59.778] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:51:59.779] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:51:59.781] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:52:15.429] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:52:15.442] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:52:15.444] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:52:15.447] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:52:15.449] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:52:51.854] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:52:51.855] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:52:51.857] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:58:00.844] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 15:58:00.860] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:58:00.861] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:58:00.864] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:58:00.865] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:59:16.516] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 15:59:16.529] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:59:16.530] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
